Gene.ID	Product.Description	Transcript.Length	Geneid	chrom	subfam	SorL	subtelomere	chapl_aapl	chapl_aapl_name
PCHAS_0100200	PIR protein	894	PCHAS_0100200	01	S1	S	1L	NA	NA
PCHAS_0100300	PIR protein	903	PCHAS_0100300	01	S7	S	1L	NA	NA
PCHAS_0100400	PIR protein	2061	PCHAS_0100400	01	L1	L	1L	NA	NA
PCHAS_0100800	PIR protein	450	PCHAS_0100800	01	L1	L	1L	NA	NA
PCHAS_0101200	PIR protein	1056	PCHAS_0101200	01	ancestral	ancestral	1L	NA	NA
PCHAS_0113300	PIR protein	3342	PCHAS_0113300	01	L1	L	1R	NA	NA
PCHAS_0114500	PIR protein	891	PCHAS_0114500	01	L4	L	1R	NA	NA
PCHAS_0114800	PIR protein	3228	PCHAS_0114800	01	L1	L	1R	NA	NA
PCHAS_0114900	PIR protein	1827	PCHAS_0114900	01	L1	L	1R	NA	NA
PCHAS_0115000	PIR protein	1686	PCHAS_0115000	01	L4	L	1R	NA	NA
PCHAS_0115100	PIR protein	960	PCHAS_0115100	01	S7	S	1R	NA	NA
PCHAS_0115200	PIR protein	918	PCHAS_0115200	01	S1	S	1R	NA	NA
PCHAS_0115300	PIR protein	903	PCHAS_0115300	01	S7	S	1R	NA	NA
PCHAS_0200005	PIR protein	879	PCHAS_0200005	02	S7	S	2L	NA	NA
PCHAS_0200011	PIR protein	1059	PCHAS_0200011	02	L4	L	2L	AAPL	2L_AAPL
PCHAS_0200015	PIR protein	909	PCHAS_0200015	02	S7	S	2L	AAPL	2L_AAPL
PCHAS_0200021	PIR protein	912	PCHAS_0200021	02	S1	S	2L	AAPL	2L_AAPL
PCHAS_0200025	PIR protein	924	PCHAS_0200025	02	S7	S	2L	AAPL	2L_AAPL
PCHAS_0200031	PIR protein	936	PCHAS_0200031	02	L4	L	2L	AAPL	2L_AAPL
PCHAS_0200035	PIR protein	3009	PCHAS_0200035	02	L1	L	2L	NA	NA
PCHAS_0200055	PIR protein	2847	PCHAS_0200055	02	L1	L	2L	NA	NA
PCHAS_0213821	PIR protein	1860	PCHAS_0213821	02	L1	L	2R	NA	NA
PCHAS_0213841	PIR protein	858	PCHAS_0213841	02	S7	S	2R	NA	NA
PCHAS_0213861	PIR protein	900	PCHAS_0213861	02	S7	S	2R	NA	NA
PCHAS_0300200	PIR protein	882	PCHAS_0300200	03	S7	S	3L	NA	NA
PCHAS_0300300	PIR protein	846	PCHAS_0300300	03	S7	S	3L	NA	NA
PCHAS_0300400	PIR protein	918	PCHAS_0300400	03	S7	S	3L	NA	NA
PCHAS_0300600	PIR protein	954	PCHAS_0300600	03	S7	S	3L	NA	NA
PCHAS_0300700	PIR protein	1737	PCHAS_0300700	03	L1	L	3L	NA	NA
PCHAS_0300800	PIR protein	960	PCHAS_0300800	03	S7	S	3L	NA	NA
PCHAS_0300900	PIR protein	951	PCHAS_0300900	03	L4	L	3L	ChAPL	3L_ChAPL
PCHAS_0301100	PIR protein	942	PCHAS_0301100	03	L4	L	3L	ChAPL	3L_ChAPL
PCHAS_0301200	PIR protein	1080	PCHAS_0301200	03	L4	L	3L	ChAPL	3L_ChAPL
PCHAS_0301400	PIR protein	2946	PCHAS_0301400	03	L1	L	3L	ChAPL	3L_ChAPL
PCHAS_0301500	PIR protein	1686	PCHAS_0301500	03	L1	L	3L	ChAPL	3L_ChAPL
PCHAS_0301600	PIR protein	2442	PCHAS_0301600	03	L1	L	3L	ChAPL	3L_ChAPL
PCHAS_0301700	PIR protein	4662	PCHAS_0301700	03	L1	L	3L	ChAPL	3L_ChAPL
PCHAS_0301800	PIR protein	2121	PCHAS_0301800	03	L4	L	3L	ChAPL	3L_ChAPL
PCHAS_0301900	PIR protein	2259	PCHAS_0301900	03	L1	L	3L	ChAPL	3L_ChAPL
PCHAS_0302000	PIR protein	3864	PCHAS_0302000	03	L1	L	3L	ChAPL	3L_ChAPL
PCHAS_0302100	PIR protein	960	PCHAS_0302100	03	L4	L	3L	ChAPL	3L_ChAPL
PCHAS_0302700	PIR protein	1302	PCHAS_0302700	03	L1	L	3L	NA	NA
PCHAS_0318500	PIR protein	1107	PCHAS_0318500	03	L2	L	3R	NA	NA
PCHAS_0319100	PIR protein	1101	PCHAS_0319100	03	L2	L	3R	NA	NA
PCHAS_0319400	PIR protein	1446	PCHAS_0319400	03	L1	L	3R	NA	NA
PCHAS_0319600	PIR protein	936	PCHAS_0319600	03	L4	L	3R	AAPL	3R_AAPL
PCHAS_0319700	PIR protein	927	PCHAS_0319700	03	S7	S	3R	AAPL	3R_AAPL
PCHAS_0319800	PIR protein	912	PCHAS_0319800	03	S7	S	3R	AAPL	3R_AAPL
PCHAS_0319900	PIR protein	921	PCHAS_0319900	03	S7	S	3R	AAPL	3R_AAPL
PCHAS_0320000	PIR protein	1791	PCHAS_0320000	03	S7	S	3R	AAPL	3R_AAPL
PCHAS_0320100	PIR protein	1065	PCHAS_0320100	03	L4	L	3R	AAPL	3R_AAPL
PCHAS_0320200	PIR protein	921	PCHAS_0320200	03	S1	S	3R	AAPL	3R_AAPL
PCHAS_0320300	PIR protein	921	PCHAS_0320300	03	S7	S	3R	NA	NA
PCHAS_0320400	PIR protein	957	PCHAS_0320400	03	S7	S	3R	NA	NA
PCHAS_0400101	PIR protein	939	PCHAS_0400101	04	S7	S	4L	NA	NA
PCHAS_0400111	PIR protein	921	PCHAS_0400111	04	S1	S	4L	AAPL	4L_AAPL
PCHAS_0400121	PIR protein	1083	PCHAS_0400121	04	L4	L	4L	AAPL	4L_AAPL
PCHAS_0400200	PIR protein	1719	PCHAS_0400200	04	S7	S	4L	AAPL	4L_AAPL
PCHAS_0400300	PIR protein	948	PCHAS_0400300	04	S7	S	4L	AAPL	4L_AAPL
PCHAS_0400400	PIR protein	915	PCHAS_0400400	04	S7	S	4L	AAPL	4L_AAPL
PCHAS_0400500	PIR protein	981	PCHAS_0400500	04	L4	L	4L	AAPL	4L_AAPL
PCHAS_0400600	PIR protein	1422	PCHAS_0400600	04	L1	L	4L	NA	NA
PCHAS_0400800	PIR protein	2697	PCHAS_0400800	04	L1	L	4L	NA	NA
PCHAS_0401100	PIR protein	942	PCHAS_0401100	04	L4	L	4L	NA	NA
PCHAS_0401400	conserved Plasmodium chabaudi protein, unknown function	684	PCHAS_0401400	04	unk	unk	4L	NA	NA
PCHAS_0419500	PIR protein	1947	PCHAS_0419500	04	L1	L	4R	NA	NA
PCHAS_0419600	PIR protein	1959	PCHAS_0419600	04	L1	L	4R	NA	NA
PCHAS_0419700	PIR protein	1992	PCHAS_0419700	04	L1	L	4R	NA	NA
PCHAS_0419800	PIR protein	2241	PCHAS_0419800	04	L1	L	4R	NA	NA
PCHAS_0419900	PIR protein	3030	PCHAS_0419900	04	L1	L	4R	NA	NA
PCHAS_0420000	PIR protein	1320	PCHAS_0420000	04	L1	L	4R	NA	NA
PCHAS_0420100	PIR protein	3714	PCHAS_0420100	04	L1	L	4R	NA	NA
PCHAS_0420200	PIR protein	3216	PCHAS_0420200	04	L1	L	4R	NA	NA
PCHAS_0420300	PIR protein	951	PCHAS_0420300	04	L4	L	4R	NA	NA
PCHAS_0420700	PIR protein	1977	PCHAS_0420700	04	L1	L	4R	NA	NA
